type	latitude	longitude	name	color
W	48.9567772	4.9218750		#00008c
W	48.9188897	4.9411011		#00008c
W	48.8773608	4.9713135		#00008c
W	48.8285655	5.0015259		#00008c
W	48.7688622	5.0344849		#00008c
W	48.7272088	5.0509644		#00008c
W	48.6093059	5.1278687		#00008c
W	48.5675204	5.1580811		#00008c
W	49.0090508	4.9520874		#00008c
W	49.0666684	5.0949097		#00008c
W	49.0666684	5.2020264		#00008c
W	49.0306652	5.2404785		#00008c
W	48.9802170	5.3009033		#00008c
W	48.9369350	5.2761841		#00008c
W	48.8954211	5.2047729		#00008c
W	48.8592940	5.0866699		#00008c
W	48.8954211	5.1525879		#00008c
W	48.8376053	5.4052734		#00008c
W	48.7525672	5.3366089		#00008c
W	48.6220164	5.4025269		#00008c
W	48.6274628	5.5288696		#00008c
W	48.6837076	5.6318665		#00008c
W	48.8620045	5.4258728		#00008c
W	48.8592940	5.4849243		#00008c
W	48.8448359	5.5700684		#00008c
W	48.8168114	5.5920410		#00008c
W	48.7878664	5.6181335		#00008c
W	48.7435121	5.6373596		#00008c
W	48.7127126	5.6304932		#00008c
W	48.7308322	5.3448486		#00008c
W	48.6873341	5.3627014		#00008c
W	48.7869616	5.3627014		#00008c
W	48.7905807	5.4148865		#00008c
W	48.8050545	5.4808044		#00008c
W	48.8186199	5.5371094		#00008c
W	48.8330856	5.5590820		#00008c
W	48.8719415	5.5879211		#00008c
W	48.7380783	5.7788086		#00008c
W	49.2893064	5.9765625		#00008c
W	49.1960640	5.9820557		#00008c
W	49.1170290	5.9875488		#00008c
W	49.0234615	5.9875488		#00008c
W	48.9513665	5.9600830		#00008c
W	48.8972268	5.9106445		#00008c
W	48.8611010	5.9051514		#00008c
W	48.8285655	5.8502197		#00008c
W	49.3072175	5.9106445		#00008c
W	49.2068317	5.7788086		#00008c
W	49.1529697	5.7623291		#00008c
W	49.0702673	5.7678223		#00008c
W	49.0090508	5.7952881		#00008c
W	48.9694000	5.8557129		#00008c
W	48.9080594	5.9875488		#00008c
W	48.8574870	6.0754395		#00008c
W	48.8502582	6.2402344		#00008c
W	48.9766116	6.2512207		#00008c
W	48.9405432	6.2896729		#00008c
W	48.9116698	6.3610840		#00008c
W	48.9333264	6.5148926		#00008c
W	48.9910316	6.6412354		#00008c
W	49.1852939	6.6137695		#00008c
W	49.1421902	6.6137695		#00008c
W	49.1206243	6.6467285		#00008c
W	49.0702673	6.6961670		#00008c
W	49.0306652	6.7126465		#00008c
W	48.9152799	6.7565918		#00008c
W	48.8863918	6.7565918		#00008c
W	48.7923902	6.7565918		#00008c
W	48.6909604	6.7181396		#00008c
W	48.6655710	6.5753174		#00008c
W	48.6147537	6.3830566		#00008c
W	48.6546858	6.2622070		#00008c
W	49.5465978	6.6796875		#00008c
W	49.5109435	6.5972900		#00008c
W	49.4359849	6.5698242		#00008c
W	49.3501774	6.6027832		#00008c
W	49.2785566	6.6632080		#00008c
W	49.2211850	6.7401123		#00008c
W	49.2104204	6.8554688		#00008c
W	49.2032427	7.0532227		#00008c
W	49.2785566	7.2509766		#00008c
W	49.6213871	6.9104004		#00008c
W	49.6782925	7.0367432		#00008c
W	49.7599775	7.2729492		#00008c
W	49.7635259	7.1466064		#00008c
W	49.8415251	7.3443604		#00008c
W	49.6854010	7.2070313		#00008c
W	49.6427344	7.2509766		#00008c
W	49.6178283	7.3388672		#00008c
W	49.5715403	7.3937988		#00008c
W	49.4931066	7.5476074		#00008c
W	49.4467003	7.6629639		#00008c
W	49.9300081	7.5201416		#00008c
W	49.8910956	7.6135254		#00008c
W	49.8415251	7.6959229		#00008c
W	49.7670741	7.8552246		#00008c
